City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hermanus,ZA,58.8,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
5,Busselton,AU,57.27,overcast clouds,-33.65,115.33,Observatory Guest House
9,Cidreira,BR,59.99,overcast clouds,-30.18,-50.21,Hotel Castelo
12,Santa Margherita Ligure,IT,65.97,few clouds,44.33,9.21,Hotel Portofino
19,Ushuaia,AR,51.46,clear sky,-54.8,-68.3,Albatross Hotel
21,Bluff,NZ,51.8,clear sky,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
24,Yellowknife,CA,52.32,broken clouds,62.46,-114.35,The Explorer Hotel
25,Mataura,NZ,51.48,clear sky,-46.19,168.86,Ellie's Villa
30,Pisco,PE,64.02,mist,-13.7,-76.22,Hotel San Isidro Oficial
31,Oia,PT,63.37,overcast clouds,40.54,-8.54,Hotel Estalagem da Pateira
32,Tevriz,RU,51.71,light rain,57.51,72.4,Tevrizpromstroykomplekt
33,Cape Town,ZA,62.11,mist,-33.93,18.42,Southern Sun Waterfront Cape Town
34,Albany,US,69.03,overcast clouds,42.6,-73.97,
35,Hobart,AU,53.46,broken clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
37,Nantucket,US,57.31,fog,41.28,-70.1,Jared Coffin House
38,Carnarvon,AU,67.71,clear sky,-24.87,113.63,Hospitality Carnarvon
39,Nkhata Bay,MW,68.29,few clouds,-11.61,34.29,Mayoka Village
49,Port Alfred,ZA,61.99,clear sky,-33.59,26.89,The Halyards Hotel
51,Saint-Joseph,RE,66.58,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
54,Kampene,CD,67.86,light rain,-3.6,26.67,
60,Ahipara,NZ,68.4,clear sky,-35.17,173.17,Ahipara Holiday Park
63,East London,ZA,61.48,clear sky,-33.02,27.91,Tu Casa
64,Minudasht,IR,58.57,clear sky,37.23,55.37,Esteghlal Hotel Minoudasht
65,Saint-Philippe,RE,67.59,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
67,Hovd,MN,62.98,overcast clouds,48.01,91.64,Hotel Khovd
74,Castro,BR,53.62,clear sky,-24.79,-50.01,CHACARA BAILLY
77,Mar Del Plata,AR,52.95,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata
78,Victoria,HK,68.38,overcast clouds,22.29,114.16,Mini Central
82,Guerrero Negro,MX,68.16,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
83,Kruisfontein,ZA,54.93,clear sky,-34.0,24.73,Oyster Bay House Rental
85,Lithgow,AU,59.63,clear sky,-33.48,150.15,Zig Zag Motel Lithgow
88,Mahanoro,MG,66.9,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
89,Ranfurly,NZ,56.26,clear sky,-45.13,170.1,Ranfurly Holiday Park Motels & Cabins
90,Port Lincoln,AU,60.39,broken clouds,-34.73,135.87,Port Lincoln Hotel
92,Menongue,AO,57.18,scattered clouds,-14.66,17.69,Ritz Lauca
93,Chokwe,MZ,63.77,few clouds,-24.53,32.98,Complexo Sonho Real
94,Constantine,DZ,63.81,broken clouds,36.37,6.61,Grand Hotel Cirta
95,Fort Nelson,CA,60.39,broken clouds,58.81,-122.7,The Fort Nelson Hotel
99,Scarborough,GB,51.33,light rain,54.28,-0.4,The Grand Hotel Scarborough
101,Khromtau,KZ,50.22,overcast clouds,50.25,58.43,Придорожный сервис Кең Дала
102,Ulaangom,MN,63.91,overcast clouds,49.98,92.07,Achit Nuur Hotel & Restaurant
103,Nishihara,JP,64.06,light rain,26.18,127.76,Minshuku Agaihama
104,Chernoyerkovskaya,RU,57.25,few clouds,45.43,37.77,Chernoyerkovskaya
109,New Norfolk,AU,53.1,broken clouds,-42.78,147.06,The Shingles Riverside Cottages
110,Alice Springs,AU,69.22,broken clouds,-23.7,133.88,Desert Palms Alice Springs
114,Allanridge,ZA,53.67,clear sky,-27.75,26.64,The Hatchery
116,Camacha,PT,62.02,clear sky,33.08,-16.33,Hotel Porto Santo & Spa
117,Florianopolis,BR,66.42,broken clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
119,Saldanha,ZA,57.25,clear sky,-33.01,17.94,Blue Bay Lodge
133,Taltal,CL,59.76,overcast clouds,-25.4,-70.48,Residencial Karime
136,Bonga,ET,59.32,light rain,7.28,36.23,Noona Noona Hotel
138,Livingston,GB,51.58,broken clouds,55.9,-3.52,Mercure Livingston Hotel
140,Ponta Do Sol,PT,68.72,scattered clouds,32.67,-17.1,Hotel do Campo
145,Skegness,GB,56.34,overcast clouds,53.14,0.34,The Royal Hotel
147,Mount Gambier,AU,56.66,light rain,-37.83,140.77,The Commodore
152,Erzin,TR,59.36,clear sky,36.96,36.2,Artemis Otel
153,Fortuna,US,67.93,few clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
155,Killybegs,IE,55.45,overcast clouds,54.63,-8.45,Tara Hotel
156,Krasnoselkup,RU,50.68,moderate rain,65.7,82.47,Krasnosel'kupnefteprodukt
160,Pirgos,GR,64.62,clear sky,35.12,25.72,Elpida Village
162,Muros,ES,61.09,overcast clouds,42.78,-9.06,Apartment Av. Castelao
165,Xai-Xai,MZ,67.44,light rain,-25.05,33.64,Platinum Hotel
168,Waconia,US,69.89,broken clouds,44.85,-93.79,AmeriVu Inn and Suites - Waconia
169,Geraldton,AU,59.41,clear sky,-28.77,114.6,Broadwater Mariner Resort
172,Camana,PE,65.98,clear sky,-16.62,-72.71,Hostal Morales
